region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr11:76299648-76299649,intergenic|chr11:76299387-76299887,intergenic,LRRC32,76381044,,81407.0,False,0.023501,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr1:78444763-78444764,promoter|chr1:78444591-78445399,promoter,DNAJB4,78444841,,154.0,True,0.380114,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr1:78444763-78444764,promoter|chr1:78444591-78445399,promoter,GIPC2,78511588,,66593.0,False,0.11258,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr1:78444763-78444764,promoter|chr1:78444591-78445399,promoter,FUBP1,78444889,,106.0,True,0.380114,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr18:46395314-46395315,intergenic|chr18:46394726-46395935,intergenic,SMAD7,46477081,,81750.5,False,0.015967,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr7:50321473-50321474,intergenic|chr7:50321113-50321908,intergenic,FIGNL1,50518104,,196593.5,False,0.018633,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Low
chr21:34775720-34775721,promoter|chr21:34774128-34775991,promoter,IFNGR2,34775201,,141.5,True,0.227859,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,High
chr22:39660828-39660829,intergenic|chr22:39660386-39661197,intergenic,PDGFB,39641060,,19731.5,False,0.038992,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,IL10RB-AS1,34638565,,138304.5,False,0.034289,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,IL10RB,34638664,,138205.5,False,0.034289,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776084-34777655,genic,C21orf62-AS1,34144410,,632459.5,False,0.023054,dendritic_cell_treated_with_Lipopolysaccharide_100_ng-mL_for_6_hour-Garber2017,IBD,Mid
