region,name,class,TargetGene,TargetGeneTSS,TargetGeneExpression,distance,isSelfPromoter,ABC.Score,CellType,Disease,score_category
chr16:30482493-30482494,promoter|chr16:30482277-30484232,promoter,ITGAL,30483982,,727.5,True,0.107019,CD19-positive_B_cell-Roadmap,IBD,High
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,RPS24,79793517,,1252929.5,False,0.01552,CD19-positive_B_cell-Roadmap,IBD,Low
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,LINC00856,80008381,,1038065.5,False,0.020967,CD19-positive_B_cell-Roadmap,IBD,Mid
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,ZMIZ1-AS1,80827205,,219241.5,False,0.02184,CD19-positive_B_cell-Roadmap,IBD,Mid
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,ZMIZ1,80828791,,217655.5,False,0.02184,CD19-positive_B_cell-Roadmap,IBD,Mid
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,PPIF,81107219,,60772.5,False,0.04389,CD19-positive_B_cell-Roadmap,IBD,High
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,ZCCHC24,81205383,,158936.5,False,0.029717,CD19-positive_B_cell-Roadmap,IBD,Mid
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,BMS1P21,81664653,,618206.5,False,0.019478,CD19-positive_B_cell-Roadmap,IBD,Low
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,TMEM254,81838401,,791954.5,False,0.015629,CD19-positive_B_cell-Roadmap,IBD,Low
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,TMEM254-AS1,81838949,,792502.5,False,0.015629,CD19-positive_B_cell-Roadmap,IBD,Low
chr10:81046452-81046453,genic|chr10:81045958-81046935,genic,FAM213A,82168241,,1121794.5,False,0.018387,CD19-positive_B_cell-Roadmap,IBD,Low
chr16:30482539-30482540,promoter|chr16:30482277-30484232,promoter,ITGAL,30483982,,727.5,True,0.107019,CD19-positive_B_cell-Roadmap,IBD,High
chr16:30482802-30482803,promoter|chr16:30482277-30484232,promoter,ITGAL,30483982,,727.5,True,0.107019,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,USP33,78225564,,218969.0,False,0.169176,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,AK5,77748286,,696247.0,False,0.138455,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,GIPC2,78511588,,67055.0,False,0.253097,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,PIGK,77685132,,759401.0,False,0.101694,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,IFI44L,79086066,,641533.0,False,0.130466,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,IFI44,79115473,,670940.0,False,0.165253,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,FUBP1,78444889,,356.0,True,0.711067,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,DNAJB4,78444841,,308.0,True,0.711066,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,NEXN-AS1,78355224,,89309.0,False,0.204164,CD19-positive_B_cell-Roadmap,IBD,High
chr1:78444763-78444764,promoter|chr1:78443615-78445451,promoter,MIGA1,78245308,,199225.0,False,0.147337,CD19-positive_B_cell-Roadmap,IBD,High
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,SCARNA17,47340392,,944956.0,False,0.01701,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,ACAA2,47340251,,944815.0,False,0.01701,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,SNHG22,47340392,,944956.0,False,0.01701,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,SMAD7,46477081,,81645.0,False,0.031013,CD19-positive_B_cell-Roadmap,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,DYM,46987079,,591643.0,False,0.021649,CD19-positive_B_cell-Roadmap,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,CTIF,46065426,,330010.0,False,0.023793,CD19-positive_B_cell-Roadmap,IBD,Mid
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,LIPG,47088400,,692964.0,False,0.018365,CD19-positive_B_cell-Roadmap,IBD,Low
chr18:46395314-46395315,intergenic|chr18:46394708-46396164,intergenic,SMAD2,45457517,,937919.0,False,0.015215,CD19-positive_B_cell-Roadmap,IBD,Low
chr7:50321473-50321474,intergenic|chr7:50320605-50322365,intergenic,FIGNL1,50518104,,196619.0,False,0.037135,CD19-positive_B_cell-Roadmap,IBD,Mid
chr7:50321473-50321474,intergenic|chr7:50320605-50322365,intergenic,IKZF1,50358643,,37158.0,False,0.047234,CD19-positive_B_cell-Roadmap,IBD,High
chr7:50321473-50321474,intergenic|chr7:50320605-50322365,intergenic,ZPBP,50132860,,188625.0,False,0.027942,CD19-positive_B_cell-Roadmap,IBD,Mid
chr9:4984529-4984530,promoter|chr9:4984299-4986122,promoter,JAK2,4985229,,18.5,True,0.11598,CD19-positive_B_cell-Roadmap,IBD,High
chr10:6099044-6099045,genic|chr10:6098864-6099602,genic,IL2RA,6104333,,5100.0,False,0.025819,CD19-positive_B_cell-Roadmap,IBD,Mid
chr21:34776694-34776695,genic|chr21:34776299-34777973,genic,IFNGR2,34775201,,1935.0,False,0.101913,CD19-positive_B_cell-Roadmap,IBD,High
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,CCR6,167525294,,9095.5,False,0.071192,CD19-positive_B_cell-Roadmap,IBD,High
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,T,166582157,,952232.5,False,0.016576,CD19-positive_B_cell-Roadmap,IBD,Low
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,RNASET2,167370077,,164312.5,False,0.01671,CD19-positive_B_cell-Roadmap,IBD,Low
chr6:167534289-167534290,genic|chr6:167534000-167534779,genic,LINC01558,168197539,,663149.5,False,0.01727,CD19-positive_B_cell-Roadmap,IBD,Low
